SyncID,Average,Diff_SlaveNode-1,Diff_SlaveNode-2,Diff_SlaveNode-3,Diff_SlaveNode-4,Diff_SlaveNode-5,Diff_SlaveNode-6,Corr_SlaveNode-1,Corr_SlaveNode-2,Corr_SlaveNode-3,Corr_SlaveNode-4,Corr_SlaveNode-5,Corr_SlaveNode-6
1,-30,0,-62,0,-61,0,-61,-30,32,-30,31,-30,31
2,-3,0,-8,0,-6,0,-6,-3,5,-3,3,-3,3
3,3,0,8,0,4,0,7,3,-5,3,-1,3,-4
4,0,0,2,0,-1,0,2,0,-2,0,1,0,-2
5,0,0,1,0,0,0,-2,0,-1,0,0,0,2
6,-1,0,-4,0,-2,0,-3,-1,3,-1,1,-1,2
7,-1,0,-4,0,-2,0,-3,-1,3,-1,1,-1,2
8,0,0,1,0,0,0,0,0,-1,0,0,0,0
9,1,0,4,0,2,0,2,1,-3,1,-1,1,-1
10,0,0,1,0,1,0,1,0,-1,0,-1,0,-1
11,0,0,-1,0,-2,0,-2,0,1,0,2,0,2
12,2,0,6,0,3,0,4,2,-4,2,-1,2,-2
13,1,0,3,0,3,0,4,1,-2,1,-2,1,-3
14,-1,0,-3,0,0,0,-3,-1,2,-1,-1,-1,2
15,0,0,1,0,1,0,0,0,-1,0,-1,0,0
16,0,0,0,0,-2,0,-1,0,0,0,2,0,1
17,-1,0,-2,0,-2,0,-2,-1,1,-1,1,-1,1
18,-2,0,-6,0,-6,0,-5,-2,4,-2,4,-2,3
19,-1,0,-2,0,-2,0,-2,-1,1,-1,1,-1,1
20,0,0,-1,0,-1,0,-1,0,1,0,1,0,1
21,0,0,-1,0,0,0,0,0,1,0,0,0,0
22,-4,0,-11,0,-9,0,-9,-4,7,-4,5,-4,5
23,-2,0,-4,0,-5,0,-5,-2,2,-2,3,-2,3
24,-2,0,-7,0,-5,0,-5,-2,5,-2,3,-2,3
25,0,0,-1,0,0,0,-1,0,1,0,0,0,1
26,0,0,2,0,1,0,-4,0,-2,0,-1,0,4
27,0,0,-1,0,-1,0,-2,0,1,0,1,0,2
28,0,0,1,0,2,0,2,0,-1,0,-2,0,-2
29,0,0,2,0,0,0,3,0,-2,0,0,0,-3
30,0,0,0,0,-1,0,3,0,0,0,1,0,-3
